,TESLA DIAGNOSTICS,Unnamed: 1,Unnamed: 2
81,CCT)                          on                             & 20ml (24 hrs,,
82,Urine Volume)),,
83,,,
84,Page 2 of 86,,
85,CLINICAL BIOCHEMISTRY,,
86,,,
87,SNo         Test        Name Of Test                  Methodology                     Sample/Volume       Temp    Referral Lab   Schedule,Turn around,MRP
88,Code                                                                                                  Name,time,
89,,,
90,27       CHDL        Cholesterol - HDL             Spectrophotometry               Serum(2ml)          2-8°C   IH             Daily,Same Day,200.00
91,,,
92,28       CHL         Chloride - Serum              ISE Direct                      Serum(2ml)          2-8°C   IH             Daily,Same Day,200.00
93,,,
94,29       CHL-24hrs   Chloride -24hrs Urine         ISE Direct/Calculation          24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,300.00
95,l (24 hrs Urine,,
96,Volume)),,
97,,,
98,30       CHL-F       Chloride - Any Fluid          ISE Direct                      Fluid.(2ml)         2-8°C   IH             Daily,Same Day,250.00
99,,,
100,31       CHL-U       Chloride -Spot Urine          ISE Direct                      Urine(20ml)         2-8°C   IH             Daily,Same Day,250.00
101,,,
102,32       CHOL-F      Cholesterol - Fluid           Spectrophotometry               Fluid.(2ml)         2-8°C   IH             Daily,Same Day,250.00
103,,,
104,33       CPK         CPK (Creatine Phospho         Spectrophotometry               Serum(2ml)          2-8°C   IH             Daily,Same Day,400.00
105,Kinase),,
106,,,
107,34       CRE         Creatinine serum              Spectrophotometry               Serum(2ml)          2-8°C   IH             Daily,Same Day,170.00
108,,,
109,35       CRE-24hrs   Creatinine 24hrs Urine         Spectrophotometry /Calculati   24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,300.00
110,on                              l (24 hrs Urine,,
111,Volume)),,
112,,,
113,36       CRE-F       Creatinine Any Fluid          Spectrophotometry               Fluid.(2ml)         2-8°C   IH             Daily,Same Day,200.00
114,,,
115,37       CRE-U       Creatinine Spot Urine         Spectrophotometry               Urine(20ml)         2-8°C   IH             Daily,Same Day,200.00
116,,,
117,38       CSFALB      Albumin-CSF.                  Spectrophotometry               CSF (1ml)(2ml)      2-8°C   IH             Daily,Same Day,200.00
118,,,
119,39       eGFR        eGFR (Glomerular Filtration   Spectrophotometry/Calculati     Serum(2ml)          2-8°C   IH             Daily,Same Day,700.00
120,Rate)                         on,,
121,,,
122,40       ELECTRO     Electrolytes-Serum            ISE Direct                      Serum(2ml)          2-8°C   IH             Daily,Same Day,500.00
123,,,
124,41       ELECTRO-    Electrolytes -24hrs Urine     ISE Direct/Calculation          24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,600.00
125,24hrs                                                                     l (24 hrs Urine,,
126,Volume)),,
127,,,
128,42       ELECTRO-    Electrolytes - Urine          ISE Direct                      Urine(20ml)         2-8°C   IH             Daily,Same Day,550.00
129,U,,
130,,,
131,43       FBS         Glucose - Fasting(FBS)        Hexokinase                      FLUORIDE            2-8°C   IH             Daily,Same Day,60.00
132,PLASMA(2ml),,
133,,,
134,44       FLUIDALB    Albumin-Fluid                 Spectrophotometry               Fluid.(2ml)         2-8°C   IH             Daily,Same Day,200.00
135,,,
136,45       FUS         Glucose - Fasting Urine(FU    Reagent Strip                   Urine(20ml)         2-8°C   IH             Daily,Same Day,40.00
137,S),,
138,,,
139,,,
140,Page 3 of 86,,
141,CLINICAL BIOCHEMISTRY,,
142,,,
143,SNo         Test        Name Of Test                  Methodology                   Sample/Volume         Temp    Referral Lab   Schedule,Turn around,MRP
144,Code                                                                                                  Name,time,
145,,,
146,46       GCT         Glucose Challenge Test (G     Hexokinase                    FLOURIDE              2-8°C   IH             Daily,Same Day,200.00
147,CT)                                                         PLASMA(2ml),,
148,,,
149,47       GGT         GGT (Gamma Glutamyl           Spectrophotometry             Serum(2ml)            2-8°C   IH             Daily,Same Day,350.00
150,Transferase),,
151,,,
152,48       GLU-AF      Glucose - Ascitic Fluid       Hexokinase                    Ascitic Fluid(2ml)    2-8°C   IH             Daily,Same Day,100.00
153,,,
154,49       GLU-CSF     Glucose - CSF                 Hexokinase                    CSF (1ml)(2ml)        2-8°C   IH             Daily,Same Day,100.00
155,,,
156,50       GLU-F       Glucose -Any Other Fluid      Hexokinase                    Fluid(2ml)            2-8°C   IH             Daily,Same Day,100.00
157,,,
158,51       GLU-PCF     Glucose - Pericardial Fluid   Hexokinase                    Pericardial Fluid(2   2-8°C   IH             Daily,Same Day,100.00
159,ml),,
160,,,
161,52       GLU-PLUF    Glucose - Pleural Fluid       Hexokinase                    Pleural Fluid(2ml)    2-8°C   IH             Daily,Same Day,100.00
162,,,
163,53       GLU-PTF     Glucose - Peritonial Fluid    Hexokinase                    Peritoneal fluid(2m   2-8°C   IH             Daily,Same Day,100.00
164,l),,
165,,,
166,54       GLU-SYN-F   Glucose - Synovial Fluid      Hexokinase                    Synovial Fluid(2ml)   2-8°C   IH             Daily,Same Day,100.00
167,,,
168,55       GTT         Glucose Tolerance Test (GT    Hexokinase                    FLOURIDE              2-8°C   IH             Daily,Same Day,400.00
169,T)                                                          PLASMA(2ml),,
170,,,
171,56       GTT-4       Glucose Tolerance Test (GT    Hexokinase                    FLOURIDE              2-8°C   IH             daily,Same Day,450.00
172,T) (4 Samples)                                              PLASMA(2ml),,
173,,,
174,57       HbA1c       HbA1c/GHB                     HPLC                          EDTA-WB(3ml)          2-8°C   IH             Daily,Same Day,500.00
175,,,
176,58       I.CAL       Ionised Calcium               ISE                           Serum(2ml)            2-8°C   IH             Daily,Same Day,800.00
177,,,
178,59       IRON        Iron- Serum                   Spectrophotometry             Serum(2ml)            2-8°C   IH             Daily,Same Day,300.00
179,,,
180,"60       IRON        Iron Studies (IRON,TIBC,UI    Spectrophotometry/Calculati   Serum(4ml)            2-8°C   IH             Daily",Same Day,800.00
181,STUD        BC&TSAT)                      on,,
182,,,
183,61       IRON-TIBC   Iron -TIBC- Serum             Spectrophotometry             Serum(2ml)            2-8°C   IH             Daily,Same Day,450.00
184,,,
185,62       K+          Potassium - Serum             ISE                           Serum(2ml)            2-8°C   IH             Daily,Same Day,200.00
186,,,
187,63       K+24hrs     Potassium 24hrs Urine         ISE /Calculation              24 Hrs. Urine(20m     2-8°C   IH             Daily,Same Day,300.00
188,l (24 hrs Urine,,
189,Volume)),,
190,,,
191,64       K+U         Potassium Spot Urine          ISE                           Urine(20ml)           2-8°C   IH             Daily,Same Day,200.00
192,,,
193,65       LDH         LDH (Lactate                  Spectrophotometry             Serum(2ml)            2-8°C   IH             Daily,Same Day,300.00
194,Dehyderogenase) - Serum,,
195,,,
196,Page 4 of 86,,
197,CLINICAL BIOCHEMISTRY,,
198,,,
199,SNo         Test        Name Of Test                  Methodology                    Sample/Volume       Temp    Referral Lab   Schedule,Turn around,MRP
200,Code                                                                                                 Name,time,
201,,,
202,66       LDH-F       LDH (Lactate                  Spectrophotometry              Fluid.(2ml)         2-8°C   IH             Daily,Same Day,300.00
203,Dehyderogenase) - Fluid,,
204,,,
205,67       LDL         Cholesterol - LDL             Spectrophotometry/Friedewal    Serum(2ml)          2-8°C   IH             Daily,Same Day,300.00
206,d Formula,,
207,,,
208,68       LFT         Liver Function Test (LFT)     Spectrophotometry /Calculati   Serum(2ml)          2-8°C   IH             Daily,Same Day,550.00
209,on,,
210,,,
211,69       LIP         Lipase Serum                  Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,700.00
212,,,
213,70       LIP-F       Lipase Fluid                  Spectrophotometry              Fluid.(2ml)         2-8°C   IH             Daily,Same Day,700.00
214,,,
215,71       LP          Lipid Profile                 Spectrophotometry /Calculati   Serum(2ml)          2-8°C   IH             Daily,Same Day,550.00
216,on,,
217,,,
218,72       Mg          Magnesium- Serum              Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,450.00
219,,,
220,73       Mg-24hrs    Magnesium- 24hrs Urine        Spectrophotometry /Calculati   24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,500.00
221,on                             l (24 hrs Urine,,
222,Volume)),,
223,,,
224,74       Mg-F        Magnesium- Fluid              Spectrophotometry              Fluid.(2ml)         2-8°C   IH             Daily,Same Day,450.00
225,,,
226,75       Mg-U        Magnesium- Spot Urine         Spectrophotometry              Urine(20ml)         2-8°C   IH             Daily,Same Day,450.00
227,,,
228,76       Na+         Sodium - Serum                ISE Direct                     Serum(2ml)          2-8°C   IH             Daily,Same Day,200.00
229,,,
230,77       Na+24hrs    Sodium - 24 hrs Urine         ISE Direct /Calculation        24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,300.00
231,l (24 hrs Urine,,
232,Volume)),,
233,,,
234,78       Na+CSF      Sodium - CSF                  ISE Direct                     CSF (1ml)(2ml)      2-8°C   IH             Daily,Same Day,200.00
235,,,
236,79       Na+F        Sodium - Fluid                ISE Direct                     Fluid.(2ml)         2-8°C   IH             Daily,Same Day,250.00
237,,,
238,80       Na+U        Sodium- Spot Urine            ISE Direct                     Urine(20ml)         2-8°C   IH             Daily,Same Day,200.00
239,,,
240,81       Nicot       Nicotine (Cotinine)- Urine    Immunochromatography           Urine(20ml)         2-8°C   IH             Daily,Same Day,450.00
241,,,
242,82       PBBS        Glucose - Post Breakfast(P    Hexokinase                     FLOURIDE            2-8°C   IH             Daily,Same Day,60.00
243,BBS)                                                         PLASMA(2ml),,
244,,,
245,83       PCR-24hrs   Protein/Creatinine Ratio 24   Spectrophotometry/Calculati    24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,400.00
246,hrs Urine                     on                             l (24 hrs Urine,,
247,Volume)),,
248,,,
249,84       PCR-U       Protein/Creatinine Ratio      Spectrophotometry /Calculati   Urine(20ml)         2-8°C   IH             Daily,Same Day,350.00
250,Spot Urine                    on,,
251,,,
252,Page 5 of 86,,
253,CLINICAL BIOCHEMISTRY,,
254,,,
255,SNo         Test        Name Of Test                  Methodology                    Sample/Volume       Temp    Referral Lab   Schedule,Turn around,MRP
256,Code                                                                                                 Name,time,
257,,,
258,85       PDBS        Glucose - Post Dinner (PD     Hexokinase                     FLOURIDE            2-8°C   IH             Daily,Same Day,60.00
259,BS)                                                          PLASMA(2ml),,
260,,,
261,86       PLBS        Glucose - Post Prandial(PL    Hexokinase                     FLUORIDE            2-8°C   IH             Daily,Same Day,60.00
262,BS)                                                          PLASMA(2ml),,
263,,,
264,87       PLUS        Glucose - Post Urine(PLUS     Reagent Strip                  Urine(20ml)         2-8°C   IH             Daily,Same Day,40.00
265,),,
266,,,
267,88       PO4         Phosphorus- Serum             Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,400.00
268,,,
269,89       PO4-12hrs   Phosphorus-12 hrs Urine                                      12 hrs Urine()              IH,,500.00
270,,,
271,90       PO4-24hrs   Phosphorus-24 hrs Urine       Spectrophotometry /Calculati   24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,500.00
272,on                             l (24 hrs Urine,,
273,Volume)),,
274,,,
275,91       PO4-U       Phosphorus- Spot Urine        Spectrophotometry              Urine(20ml)         2-8°C   IH             Daily,Same Day,400.00
276,,,
277,92       PREBS       Glucose - Pre Dinner(PDBS     Hexokinase                     FLOURIDE            2-8°C   IH             Daily,Same Day,60.00
278,)                                                            PLASMA(2ml),,
279,,,
280,93       PRELBS      Glucose - Pre Lunch Blood     Hexokinase                     FLOURIDE            2-8°C   IH             Daily,Same Day,60.00
281,Glucose                                                      PLASMA(2ml),,
282,,,
283,94       PT(INR)     PT & INR (Prothrombin         Clotting                       Citrate Plasma(3m   2-8°C   IH             Daily,Same Day,250.00
284,Time (PT) with INR)                                          l),,
285,,,
286,95       RBS         Glucose - Random (RBS)        Hexokinase                     FLOURIDE            2-8°C   IH             Daily,Same Day,60.00
287,PLASMA(2ml),,
288,,,
289,96       RUS         Glucose - Random Urine(R      Reagent Strip                  Urine(20ml)         2-8°C   IH             Daily,Same Day,40.00
290,US),,
291,,,
292,"97       SAAG        SAAG (Serum Ascitic           Spectrophotometry /            SERUM,ASCITIC       2-8°C   IH             Daily",Same Day,500.00
293,Albumin Gradient)             Calculation                    FLUID(2ml),,
294,,,
295,98       T.BIL       Bilirubin(Total Direct)       Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,200.00
296,,,
297,99       TCHOL       Cholesterol - Total           Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,200.00
298,,,
299,100        TGL         Triglycerides(TGL)            Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,200.00
300,,,
301,101        TIBC        Iron Binding Capacity-Total   Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,700.00
302,(TIBC),,
303,,,
304,102        TP-12hrs    Protein 12hrs Urine                                          12 hrs Urine()              IH,,350.00
305,,,
306,103        TP-16hrs    Protein 16 hrs Urine          Spectrophotometry /Calculati   16 hrs URINE(20     2-8°C   IH             Daily,Same Day,350.00
307,on                             ml),,
308,,,
309,Page 6 of 86,,
310,CLINICAL BIOCHEMISTRY,,
311,,,
312,SNo         Test        Name Of Test                 Methodology                    Sample/Volume         Temp    Referral Lab   Schedule,Turn around,MRP
313,Code                                                                                                  Name,time,
314,,,
315,104        TP-24hrs    Protein 24hrs Urine          Spectrophotometry /Calculati   24 Hrs. Urine(20m     2-8°C   IH             Daily,Same Day,350.00
316,on                             l),,
317,,,
318,105        TP-8hrs     Protein 8 hrs Urine          Spectrophotometry /Calculati   8 hrs URINE(20ml      2-8°C   IH             Daily,Same Day,350.00
319,on                             ),,
320,,,
321,"106        TP-ALB      Protein with (Albumin,       Spectrophotometry /Calculati   Serum(2ml)            2-8°C   IH             Daily",Same Day,300.00
322,"Globulin, AG Ratio)          on",,
323,,,
324,107        TP-ASCF     Protein - Ascitic Fluid      Spectrophotometry              Ascitic Fluid(2ml)    2-8°C   IH             Daily,Same Day,250.00
325,,,
326,108        TP-CSF      Protein - CSF                Spectrophotometry              CSF (1ml)(2ml)        2-8°C   IH             Daily,Same Day,250.00
327,,,
328,109        TP-PCF      Protein -Pericardial Fluid   Spectrophotometry              Pericardial Fluid(2   2-8°C   IH             Daily,Same Day,250.00
329,ml),,
330,,,
331,110        TP-PLUF     Protein -Pleural Fluid       Spectrophotometry              Pleural Fluid(2ml)    2-8°C   IH             Daily,Same Day,250.00
332,,,
333,111       TP-PTF      Protein -Peritonial Fluid    Spectrophotometry              Peritoneal fluid(2m   2-8°C   IH             Daily,SAme Day,250.00
334,l),,
335,,,
336,112        TP-SYNF     Protein - Synovial Fluid     Spectrophotometry              Synovial Fluid(2ml)   2-8°C   IH             Daily,Same Day,250.00
337,,,
338,113        TP-U        Protein - Spot Urine         Spectrophotometry              Urine(2ml)            2-8°C   IH             Daily,Same Day,250.00
339,,,
340,114        TROP-I      Troponin I (Qualitative)     Immunochromatography           Serum(2ml)            2-8°C   IH             Daily,Same Day,1200.00
341,,,
342,115        TROP-T      Troponin T (Qualitative)     Immunochromatography           Serum(2ml)            2-8°C   IH             Daily,Same Day,1200.00
343,,,
344,116        TSAT        Transferrin Saturation       Spectrophotometry /Calculati   Serum(2ml)            2-8°C   IH             Daily,Same Day,800.00
345,on,,
346,,,
347,117        UA          Uric Acid - Serum            Spectrophotometry              Serum(2ml)            2-8°C   IH             Daily,Same Day,170.00
348,,,
349,118        UA-12hrs    Uric Acid- 12 hrs Urine                                     12 hrs Urine()                IH             Daily,,300.00
350,,,
351,119        UA-24hrs    Uric Acid- 24 hrs Urine      Spectrophotometry /Calculati   24 Hrs. Urine(20m     2-8°C   IH             Daily,Same Day,300.00
352,on                             l (24hrs Urine,,
353,Volume)),,
354,,,
355,120        UA-U        Uric Acid - Spot Urine       Spectrophotometry              Urine(20ml)           2-8°C   IH             Daily,same Day,200.00
356,,,
357,121        UMA         Microalbuminuria- Urine (U   Immunoturbidometry/Calcula     Urine(20ml)           2-8°C   IH             Daily,Same Day,450.00
358,MA)                          tion,,
359,,,
360,122        UMA-24hrs   Microalbuminuria 24hrs       Immunoturbidometry /Calcul     24 Hrs. Urine(20m     2-8°C   IH             Daily,Same Day,500.00
361,urine                        ation                          l (24 hrs Urine,,
362,Volume)),,
363,,,
364,,,
365,,,
366,Page 7 of 86,,
367,CLINICAL BIOCHEMISTRY,,
368,,,
369,SNo         Test        Name Of Test              Methodology                    Sample/Volume      Temp    Referral Lab   Schedule   Tur,around    MR,
370,Code                                                                                            Name                      tim,,
371,123        UMA/CRE     Microalbumin/Creatinine   Immunoturbidometry /Calcul     Urine(20ml)        2-8°C   IH             Daily      Sam,Day      500,0
372,Ratio- Spot Urine         ation,,
373,,,
374,124        UREA        Urea - Serum              Spectrophotometry              Serum(2ml)         2-8°C   IH             Daily      Sam,Day      170,0
375,,,
376,125        UREA-24hr   Urea - 24hrs Urine        Spectrophotometry /Calculati   Serum(20ml (24hr   2-8°C   IH             Daily      Sam,Day      300,0
377,s                                     on                             s Urine Volume)),,
378,,,
379,126        UREA-F      Urea - Fluid              Spectrophotometry              Fluid.(2ml)        2-8°C   IH             Daily      Sam,Day      200,0
380,,,
381,127        UREA-U      Urea - Spot Urine         Spectrophotometry              Urine(20ml)        2-8°C   IH             Daily      Sam,Day      200,0
382,,,
383,128        VLDL        Cholesterol - VLDL        Spectrophotometry/Calculati    Serum(2ml)         2-8°C   IH             Daily      Sam,Day      300,0
384,on,,
385,,,
386,,,
387,,,
388,,,
389,Page 8 of 86,,
390,CLINICAL PATHOLOGY,,
391,,,
392,SNo         Test         Name Of Test                   Methodology             Sample/Volume   Temp     Referral Lab   Schedule   Turn a,und    MRP,
393,Code                                                                                         Name                      time,,
394,,,
395,129        ALB-U(STR    Albumin-Urine (Strip           Strip                   Urine(5ml)      15-22°   IH             Daily      Same D,50.00,
396,IP)          Method)                                                                C,,
397,,,
398,130        BJP          BenceJones Proteins (BJP)      Acid/Heat               Urine(20ml)     15-22°   IH             Daily      Same D,500.00,
399,C,,
400,,,
401,131        BS & BP      Bile Salts & Bile Pigments -   Hays / Fouchets         Urine(5ml)      15-22°   IH             Daily      Same D,100.00,
402,Urine                                                                  C,,
403,,,
404,132        CP001        Acetone (Ketones)- Urine       Rotheras                Urine(20ml)     15-22°   IH             Daily      Same D,70.00,
405,C,,
406,,,
407,133        CSE          Stool Routine Examination      Microscopy              Stool(NA)       15-22°   IH             Daily      Same D,120.00,
408,C,,
409,,,
410,134        CUE          CUE(Complete Urine             Multi Reagent Strip /   Urine(20ml)     15-22°   IH             Daily      Same D,150.00,
411,Examination)                   Chemical / Microscopy                   C,,
412,,,
413,135        CUE(G1)      CUE(G1)                        Multi Reagent Strip /   Urine(20ml)     15-22°   IH             Daily      Same D,150.00,
414,Chemical / Microscopy                   C,,
415,,,
416,136        CUE(G2)      CUE(G2)                        Multi Reagent Strip /   Urine(20ml)     15-22°   IH             Daily      Same D,150.00,
417,Chemical / Microscopy                   C,,
418,,,
419,137        CUE(G3)      CUE(G3)                        Multi Reagent Strip /   Urine(20ml)     15-22°   IH             Daily      Same D,150.00,
420,Chemical / Microscopy                   C,,
421,,,
422,138        Fat-S        Stool Fat Globules             Microscopy              Stool(NA)       15-22°   IH             Daily      Same D,100.00,
423,C,,
424,,,
425,139        Hb-U         Urine - Hemoglobin - CP00      Strip/Rapid Hemospot    Urine(20ml)     2-8°C    Ampath         Daily      Same D,200.00,
426,13,,
427,,,
428,140        HCG-         Urine Pregnancy (HCG)          Immunochromatography    Urine(10ml)     15-22°   IH             Daily      Same D,150.00,
429,(PREG)                                                                              C,,
430,,,
431,141        O.B-S        Stool Occult Blood             Hemospot                Stool(NA)       15-22°   IH             Daily      Same D,100.00,
432,C,,
433,,,
434,142        Ova&Cyst     Stool - Ova&Cyst               Microscopy              Stool(NA)       15-22°   IH             Daily      Same D,100.00,
435,C,,
436,,,
437,143        Ova&Cyst(c   Stool - Ova&Cyst (Conc.        Microscopy              Stool(NA)       15-22°   IH             Daily      Same D,100.00,
438,)            Method)                                                                C,,
439,,,
440,144        PH-S         Stool PH                       Indicator Paper         Stool(NA)       15-22°   IH             Daily      Same D,50.00,
441,C,,
442,,,
443,145        PH-U         PH - Urine                     Strip                   Urine(5ml)      15-22°   IH             Daily      Same D,60.00,
444,C,,
445,,,
446,,,
447,Page 9 of 86,,
448,CLINICAL PATHOLOGY,,
449,,,
450,SNo     Test        Name Of Test           Methodology   Sample/Volume   Temp     Referral Lab   Schedule   Turn around    MRP,,
451,Code                                                                      Name                      time,,
452,146    Red.Sub-S   Stool - Reducing       Benedicts     Stool(NA)       15-22°   IH             Daily      Same Day      120.00,,
453,Substances                                           C,,
454,,,
455,147    Red.Sub-U   Urine - Reducing       Benedicts     Urine(5ml)      15-22°   IH             Daily      Same Day      100.00,,
456,Substance                                            C,,
457,,,
458,148    SEME-A      Semen Analysis         Microscopy    Semen(NA)       15-22°   IH             Daily      Same Day      300.00,,
459,C,,
460,,,
461,149    Urobil-U    Urine - Urobilinogen   Strip         Urine(20ml)     15-22°   IH             Daily      Same Day       60.00,,
462,C,,
463,,,
464,,,
465,,,
466,,,
467,Page 10 of 86,,
468,CT SCAN,,
469,,,
470,SNo     Test    Name Of Test                   Methodology   Sample/Volume      Temp   Referral Lab   Schedule   Turn around      MRP,,
471,Code                                                                           Name                      time,,
472,,,
473,150    CT001   CT Scan of 3DShoulder          NA            ---Select---(NA)          IH             Daily      Same Day       4000.00,,
474,,,
475,151    CT002   CT Scan of 3D Cervical                       ---Select---()            IH                                       5500.00,,
476,Vertibrae C1-C5 Plain and,,
477,Contrast,,
478,,,
479,152    CT003   CT Scan of Brain Plain (Axia   NA            ---Select---(NA)          IH             Daily      Same Day       3500.00,,
480,"l, Coronal, Saggital)",,
481,,,
482,153    CT004   CT Scan of Brain With          NA            ---Select---(NA)          IH             Daily      Same Day       4000.00,,
483,Facial Bones,,
484,,,
485,154    CT005   CT Scan of Brain With PNS                    ---Select---()            IH                                       3500.00,,
486,Cuts,,
487,,,
488,155    CT006   CT Scan of Contrast (Doubl                   ---Select---()            IH                                       1500.00,,
489,e Dose),,
490,,,
491,156    CT007   CT Scan of Contrast (Single                  ---Select---()            IH                                       1000.00,,
492,Dose),,
493,,,
494,157    CT008   CT Scan of Extra Film          NA            .(NA)                     IH             Daily      Same Day        300.00,,
495,,,
496,158    CT009   CT Scan of Face Cuts Only                    .()                       IH                                       2000.00,,
497,,,
498,159    CT010   CT Scan of Fistulogram                       ---Select---()            IH                                       4500.00,,
499,,,
500,160    CT011   CT Scan of IVP Plain KUB                     .()                       IH                                       4800.00,,
501,,,
502,161    CT012   CT Scan of Mandible With 3                   ---Select---()            IH                                       3000.00,,
503,D,,
504,,,
505,162    CT013   CT Scan of Peripheral                        ---Select---()            IH                                      10000.00,,
506,Angio,,
507,,,
508,163    CT014   CT Scan of PNS                               ---Select---()            IH                                       2000.00,,
509,,,
510,164    CT015   CT Scan of Pulmonary                         ---Select---()            IH                                       8500.00,,
511,Angio,,
512,,,
513,165    CT016   CT Scan Of Renal Angio                       ---Select---()            IH                                      10000.00,,
514,,,
515,166    CT017   CT Scan of (CECT abd with      NA            ---Select---(NA)          IH             Daily      Same Day      10000.00,,
516,Mesentric Angiography),,
517,,,
518,167    CT018   CT Scan of 3D Knee joint                     .()                       IH                                       3500.00,,
519,,,
520,168    CT019   CT Scan of Abdomen(Plain)      NA            ---Select---(NA)          IH             Daily      Same Day       4800.00,,
521,,,
522,,,
523,,,
524,Page 11 of 86,,
525,CT SCAN,,
526,,,
527,SNo     Test    Name Of Test                    Methodology   Sample/Volume      Temp   Referral Lab   Schedule   Turn around     MRP,,
528,Code                                                                            Name                      time,,
529,169    CT020   CT Scan of Abdomen(With         NA            ---Select---(NA)          IH             Daily      Same Day      6000.00,,
